Gene ID	LSV ID	LSV Type	E(PSI) per LSV junction	StDev(E(PSI)) per LSV junction	A5SS	A3SS	ES	Num. Junctions	Num. Exons	Junctions coords	IR coords
RYR2	RYR2:s:237680456-237680577	s|1e1.1o1|1e2.1o1	0.7923852;0.20761473	0.04104048781639957;0.0410403589605206	False	False	True	2	3	237680577-237687455;237680577-237698965	
AGAP6	AGAP6:t:50008711-50010499	t|1e1.1o1|1e2.1o1	0.96236557;0.03763441	0.025357888103137396;0.025357457441987176	False	False	True	2	3	50008076-50008711;50008633-50008711	
CDC42SE2	CDC42SE2:s:131390993-131391108	s|1e1.1o2|1e1.2o2	0.64660084;0.3533991	0.06465339949494354;0.06465350390210892	False	True	False	2	2	131391108-131391829;131391108-131391918	
HLF	HLF:s:55315227-55315447	s|1e1.1o2|1e1.2o2	0.09489557;0.90510446	0.04671866282537184;0.04671886633076804	False	True	False	2	2	55315447-55320661;55315447-55320664	
GK5	GK5:t:142182923-142183049	t|1e1.1o1|1e2.1o1	0.24074075;0.7592593	0.12850760222129765;0.1285076569175749	False	False	True	2	3	142183049-142185929;142183049-142184711	
RYR2	RYR2:t:237698965-237699025	t|1e1.1o1|1e2.1o1|1e3.1o1	0.015505415;0.2054241;0.77669305	0.012189046011524533;0.04239167377441297;0.042905830712217805	False	False	True	3	4	237674846-237698965;237680577-237698965;237687504-237698965	
RYR2	RYR2:s:237760955-237761028	s|1e1.1o1|1e2.1o1	0.03207237;0.96792763	0.027664997138784383;0.027665037657227713	False	False	True	2	3	237761028-237769587;237761028-237770807	
RYR2	RYR2:t:237770807-237770887	t|1e1.1o1|1e2.1o1	0.9700588;0.029941194	0.022760451624478227;0.022761389435963453	False	False	True	2	3	237761028-237770807;237769619-237770807	
PTPN4	PTPN4:t:119882097-119882149	t|1e1.1o1|1e2.1o1	0.07676768;0.9232323	0.05690295287465993;0.05690287758811973	False	False	True	2	3	119877542-119882097;119881830-119882097	
PHC1	PHC1:t:8917630-8917791	t|1e1.1o1|1e2.1o1	0.0205518;0.9794482	0.022005151028234013;0.022002696193556014	False	False	True	2	3	8914827-8917630;8916069-8917630	
PHC1	PHC1:s:8920985-8921065	s|1e1.1o1|1e2.1o2	0.9867654;0.013234658	0.019743787007517236;0.01974277976751581	False	False	True	2	3	8921065-8921601;8921065-8922633	
PHC1	PHC1:t:8922633-8922788	t|1e1.1o1|1e2.1o1|2e2.1o1	0.0069205603;0.8161088;0.16947252	0.01154745433325848;0.04562938057018205;0.04667874149379607	False	True	True	3	3	8921065-8922633;8921750-8922633;8921750-8922657	
PTPN4	PTPN4:s:119920069-119920241	s|1e1.1o1|1e2.1o1	0.7132512;0.28674883	0.04655823484350477;0.04655815868699692	False	False	True	2	3	119920241-119926598;119920241-119932424	
SOBP	SOBP:s:107587080-107587175	s|1e1.1o1|1e2.1o1	0.6447368;0.35526314	0.10990202385506183;0.10990196044019022	False	False	True	2	3	107587175-107627386;107587175-107633514	
SHPRH	SHPRH:s:145934907-145935163	s|1e1.1o1|2e1.1o1	0.088141024;0.911859	0.05370184711096836;0.053701467753157525	True	False	False	2	2	145933178-145935080;145933178-145934907	
SOBP	SOBP:t:107633514-107635469	t|1e1.1o1|1e2.1o1	0.47826087;0.5217391	0.1380818831593215;0.13808191205964296	False	False	True	2	3	107533610-107633514;107587175-107633514	
SHPRH	SHPRH:s:145933050-145933205	s|1e1.1o1|2e1.1o1	0.7184022;0.2815978	0.12181382592464222;0.12181377703311923	True	False	False	2	2	145927277-145933057;145927277-145933050	
WHSC1	WHSC1:s:1939654-1939778	s|1e1.1o1|1e2.1o1	0.81578946;0.18421052	0.13437360270504434;0.13437362118487686	False	False	True	2	3	1939778-1942339;1939778-1951072	
PTPN4	PTPN4:t:119920069-119920241	t|1e1.1o1|1e2.1o1	0.9278779;0.07212205	0.032400912127625345;0.03240106011726093	False	False	True	2	3	119915242-119920069;119916690-119920069	
TCP1	TCP1:s:159787743-159787871	s|1e1.1o1|1e2.1o1	0.9043406;0.095659405	0.0591354694357754;0.05913541457824158	False	False	True	2	3	159785997-159787743;159784067-159787743	
RYR2	RYR2:s:237783675-237784972	s|1e1.1o2|1e1.2o2	0.9461713;0.05382873	0.017390565549512602;0.017389942652851684	False	True	False	2	2	237784972-237785969;237784972-237785975	
ADAR	ADAR:t:154602385-154602626	t|1e1.1o1|1e2.1o1	0.08634868;0.91365135	0.12780192099236726;0.1278019540520748	False	False	True	2	3	154602626-154627954;154602626-154627855	
ADAR	ADAR:s:154601041-154602248	s|1e1.1o1|2e1.1o1	0.0025062812;0.99749374	0.0009666315027240682;0.000943445059494927	True	False	False	2	2	154598585-154601231;154598585-154601041	
BMP2K	BMP2K:s:78878734-78879440	s|1e1.1o1|1e2.1o1	0.26566538;0.7343346	0.09817563774127887;0.09817562434836218	False	False	True	2	3	78878891-78887174;78878891-78910610	
METTL9	METTL9:s:21624931-21625115	s|1e1.1o2|1e1.2o2	0.7296875;0.2703125	0.14953649499631752;0.1495364564241742	False	True	False	2	2	21625115-21655227;21625115-21655230	
HLCS	HLCS:s:36759727-36759841	s|1e1.1o1|1e2.1o1	0.5;0.5	0.14613661426067365;0.14613661574150294	False	False	True	2	3	36756980-36759727;36756755-36759727	
