Gene ID	LSV ID	LSV Type	E(PSI) per LSV junction	StDev(E(PSI)) per LSV junction	A5SS	A3SS	ES	Num. Junctions	Num. Exons	Junctions coords	IR coords
PHC1	PHC1:t:8917630-8917791	t|1e1.1o1|1e2.1o1	0.024199843;0.97580016	0.021667497461731213;0.021666982555735185	False	False	True	2	3	8914827-8917630;8916069-8917630	
HLF	HLF:s:55315227-55315447	s|1e1.1o2|1e1.2o2	0.15525267;0.8447473	0.055919386442987856;0.055919252262197496	False	True	False	2	2	55315447-55320661;55315447-55320664	
ANKRD20A4	ANKRD20A4:s:64373464-64373637	s|1e1.1o1|1e2.1o1	0.8797593;0.12024066	0.0489693122736639;0.04896945429027382	False	False	True	2	3	64373637-64377521;64373637-64378674	
ANKRD20A4	ANKRD20A4:t:64378674-64378811	t|1e1.1o1|1e2.1o1	0.19809942;0.8019006	0.08072232244434273;0.08072257966803047	False	False	True	2	3	64373637-64378674;64377627-64378674	
LINC00265	LINC00265:s:39733568-39734044	s|1e1.1o1|1e2.1o1	0.7259528;0.2740472	0.13209496473657745;0.1320949387877986	False	False	True	2	3	39734044-39763548;39734044-39767404	
LINC00265	LINC00265:t:39767404-39767670	t|1e1.1o1|1e2.1o1	0.38760504;0.6123949	0.16118838901774876;0.16118838204413136	False	False	True	2	3	39734044-39767404;39763671-39767404	
LINC00265	LINC00265:s:39782735-39782799	s|1e1.1o1|1e2.1o1	0.41304347;0.5869565	0.14838207003134374;0.14838205105122712	False	False	True	2	3	39782799-39788482;39782799-39789354	
PHC1	PHC1:s:8920985-8921065	s|1e1.1o1|1e2.1o2	0.9699519;0.030048076	0.0353728510270132;0.03537245596889379	False	False	True	2	3	8921065-8921601;8921065-8922633	
ANKRD20A4	ANKRD20A4:s:64390717-64390786	s|1e1.1o2|1e1.2o2	0.50625;0.49375	0.1216374144128416;0.12163746072105301	False	True	False	2	2	64390786-64394738;64390786-64394741	
SOBP	SOBP:s:107587080-107587175	s|1e1.1o1|1e2.1o1	0.26985294;0.73014706	0.13900488439217124;0.1390048940607611	False	False	True	2	3	107587175-107627386;107587175-107633514	
PTPN4	PTPN4:t:119882097-119882149	t|1e1.1o1|1e2.1o1	0.39724737;0.6027526	0.10312210179331929;0.10312207700043184	False	False	True	2	3	119877542-119882097;119881830-119882097	
PTPN4	PTPN4:s:119920069-119920241	s|1e1.1o1|1e2.1o1	0.8772358;0.122764274	0.04595566015670764;0.04595631974986191	False	False	True	2	3	119920241-119926598;119920241-119932424	
PTPN4	PTPN4:t:119920069-119920241	t|1e1.1o1|1e2.1o1	0.8948345;0.10516548	0.05160901411389933;0.051608955361981866	False	False	True	2	3	119915242-119920069;119916690-119920069	
AC019118.2	AC019118.2:t:2950070-2950158	t|1e2.1o1|2e1.1o1|2e2.1o1	0.17105263;0.17799708;0.64747804	0.10202997443008122;0.1124879043684699;0.132660879568172	False	True	True	3	3	2950158-2950265;2950154-2952196;2950154-2950265	
AGAP6	AGAP6:t:50008711-50010499	t|1e1.1o1|1e2.1o1	0.97873604;0.021263953	0.01438166962113334;0.014377390170994708	False	False	True	2	3	50008076-50008711;50008633-50008711	
AC019118.2	AC019118.2:s:2948270-2948373	s|1e1.1o1|1e2.1o1	0.2748918;0.7251082	0.12298447314694533;0.12298456821093032	False	False	True	2	3	2942711-2948270;2897304-2948270	
SOBP	SOBP:t:107633514-107635469	t|1e1.1o1|1e2.1o1	0.42801726;0.57198274	0.141709432899056;0.14170945248244105	False	False	True	2	3	107533610-107633514;107587175-107633514	
LINC00265	LINC00265:t:39789354-39789544	t|1e1.1o1|1e2.1o1	0.3693074;0.6306926	0.11001383686323087;0.1100138110460494	False	False	True	2	3	39782799-39789354;39788604-39789354	
PHC1	PHC1:t:8922633-8922788	t|1e1.1o1|1e2.1o1|2e2.1o1	0.028381642;0.82894737;0.13901602	0.03404072140650244;0.0804126002630281;0.07788324432053344	False	True	True	3	3	8921065-8922633;8921750-8922633;8921750-8922657	
ST7	ST7:t:117099762-117099844	t|1e1.1o1|1e2.1o1	0.023809524;0.97619045	0.031798755633328644;0.03180017033381761	False	False	True	2	3	116953691-117099762;117020629-117099762	
BMP2K	BMP2K:s:78878734-78879440	s|1e1.1o1|1e2.1o1	0.28846154;0.71153843	0.12092889873955509;0.12092888397381378	False	False	True	2	3	78878891-78887174;78878891-78910610	
BMP2K	BMP2K:t:78910610-78916365	t|1e1.1o1|1e2.1o1	0.59668803;0.40331197	0.12034539755027339;0.12034533370624786	False	False	True	2	3	78878891-78910610;78887284-78910610	
SOGA3	SOGA3:s:127446408-127447740	s|1e1.1o1|2e1.1o1	0.18990386;0.81009614	0.054339720634001526;0.05433948187647727	True	False	False	2	2	127444282-127446872;127444282-127446408	
CRCP	CRCP:s:66127704-66127740	s|1e1.1o1|1e2.1o1	0.35825893;0.64174104	0.11869456671707344;0.11869462860759794	False	False	True	2	3	66127740-66130127;66127740-66130744	
CDC42SE2	CDC42SE2:s:131390993-131391108	s|1e1.1o2|1e1.2o2	0.8022045;0.19779554	0.0741676053119991;0.0741676996590393	False	True	False	2	2	131391108-131391829;131391108-131391918	
PHF14	PHF14:s:10974835-10974945	s|1e1.1o1|1e2.1o1	0.9161678;0.08383222	0.03628319968937985;0.03628357003739211	False	False	True	2	3	10974945-10982372;10974945-10990703	
RYR2	RYR2:s:237680456-237680577	s|1e1.1o1|1e2.1o1	0.7934569;0.20654306	0.06264410946510407;0.0626443256740154	False	False	True	2	3	237680577-237687455;237680577-237698965	
RYR2	RYR2:t:237698965-237699025	t|1e1.1o1|1e2.1o1|1e3.1o1	0.020209838;0.16312057;0.7960369	0.020714312265119262;0.06049364427959785;0.06292411373313878	False	False	True	3	4	237674846-237698965;237680577-237698965;237687504-237698965	
SHPRH	SHPRH:s:145934907-145935163	s|1e1.1o1|2e1.1o1	0.084349595;0.9156504	0.06377204160276341;0.06377222873039783	True	False	False	2	2	145933178-145935080;145933178-145934907	
PHF14	PHF14:t:10990703-10990847	t|1e1.1o1|1e2.1o1	0.40376985;0.59623015	0.1452323233150829;0.14523229125611212	False	False	True	2	3	10974945-10990703;10983159-10990703	
SHANK1	SHANK1:s:50687582-50687662	s|1e1.1o1|1e2.1o1	0.17311811;0.8268819	0.05491531273391546;0.05491513979400628	False	False	True	2	3	50687040-50687582;50686812-50687582	
UBTF	UBTF:s:44212819-44212939	s|1e1.1o1|1e2.1o1	0.8570261;0.14297387	0.11707095446734517;0.11707098190451187	False	False	True	2	3	44212454-44212819;44212006-44212819	
RYR2	RYR2:s:237760955-237761028	s|1e1.1o1|1e2.1o1	0.02325721;0.97674274	0.022120448555833887;0.02211829935306167	False	False	True	2	3	237761028-237769587;237761028-237770807	
ADAR	ADAR:s:154601041-154602248	s|1e1.1o1|2e1.1o1	0.002257348;0.99774265	0.0007245879550433902;0.0006821461539780696	True	False	False	2	2	154598585-154601231;154598585-154601041	
SHPRH	SHPRH:s:145933050-145933205	s|1e1.1o1|2e1.1o1	0.6472356;0.35276443	0.11602007074415367;0.11602006625304044	True	False	False	2	2	145927277-145933057;145927277-145933050	
CRCP	CRCP:t:66130744-66130842	t|1e1.1o1|1e2.1o1	0.7337185;0.26628152	0.11572368468713197;0.11572371667641358	False	False	True	2	3	66127740-66130744;66130248-66130744	
TCP1	TCP1:s:159787743-159787871	s|1e1.1o1|1e2.1o1	0.883658;0.11634199	0.10012595541657329;0.10012602995281487	False	False	True	2	3	159785997-159787743;159784067-159787743	
TCP1	TCP1:t:159783941-159784067	t|1e1.1o1|1e2.1o1	0.026461694;0.9735383	0.02177285262340423;0.02177028265036962	False	False	True	2	3	159784067-159787743;159784067-159784666	
PTPN4	PTPN4:t:119932424-119932549	t|1e1.1o1|1e2.1o1	0.10448019;0.8955198	0.04014749785332938;0.0401478183882071	False	False	True	2	3	119920241-119932424;119926666-119932424	
SMG1P1	SMG1P1:s:22437008-22437492	s|1e1.1o1|1e2.1o1	0.7180706;0.28192934	0.16599273835148817;0.16599275848248687	False	False	True	2	3	22437492-22451620;22437492-22454702	
RYR2	RYR2:t:237770807-237770887	t|1e1.1o1|1e2.1o1	0.9668511;0.03314893	0.03141986837729178;0.031420083857469173	False	False	True	2	3	237761028-237770807;237769619-237770807	
MICU2	MICU2:t:21514353-21514418	t|1e1.1o1|1e2.1o1	0.32352942;0.6764706	0.1556435708793421;0.15564354396081126	False	False	True	2	3	21514418-21521245;21514418-21515534	
MICU2	MICU2:s:21502926-21503097	s|1e1.1o1|1e2.1o1	0.98112535;0.018874645	0.02568127354135685;0.02568344975556582	False	False	True	2	3	21496160-21502926;21495318-21502926	
METTL9	METTL9:s:21624931-21625115	s|1e1.1o2|1e1.2o2	0.5715909;0.4284091	0.1597420260850515;0.1597419835554273	False	True	False	2	2	21625115-21655227;21625115-21655230	
ST7	ST7:s:117131885-117131960	s|1e1.1o1|1e2.1o1	0.6225;0.3775	0.15404308063191344;0.15404307280231266	False	False	True	2	3	117131960-117134124;117131960-117136081	
ADAR	ADAR:s:154590184-154590409	s|1e1.1o1|2e1.1o1	0.104347825;0.8956522	0.1186850030634484;0.11868507402775426	True	False	False	2	2	154589928-154590262;154589928-154590184	
ST7	ST7:t:117136081-117136235	t|1e1.1o1|1e2.1o1	0.24596775;0.75403225	0.11192508336748305;0.11192514061579228	False	False	True	2	3	117131960-117136081;117134192-117136081	
BMS1P20	BMS1P20:s:22303943-22304114	s|1e1.1o2|1e1.2o2	0.4249193;0.5750807	0.058368082732492305;0.058368167620490935	False	True	False	2	2	22304114-22306790;22304114-22306833	
METAP2	METAP2:s:95474046-95474330	s|1e1.1o2|1e1.2o2	0.7778578;0.22214222	0.06670333533505839;0.06670330694126021	False	True	False	2	2	95474330-95476071;95474330-95476074	
PCDH17	PCDH17:s:57666468-57666526	s|1e1.1o2|1e1.2o2	0.96153843;0.03846154	0.05151615601489993;0.05151597993449787	False	True	False	2	2	57666526-57666661;57666526-57666664	
UVRAG	UVRAG:t:75983387-75983513	t|1e1.1o1|1e2.1o1	0.9018196;0.098180465	0.04634507241255348;0.04634476665587072	False	False	True	2	3	75961549-75983387;75980038-75983387	
PHF14	PHF14:s:11061791-11061851	s|1e1.1o1|2e1.1o1	0.80671835;0.19328165	0.09062905740504697;0.09062919419159457	True	False	False	2	2	11061841-11061964;11061851-11061964	
SHANK1	SHANK1:t:50686744-50686812	t|1e1.1o1|1e2.1o1	0.7717494;0.2282506	0.060991044742090106;0.06099131939756493	False	False	True	2	3	50686812-50687582;50686812-50687017	
USP16	USP16:s:29036271-29036374	s|1e1.1o2|1e1.2o2	0.6878022;0.3121978	0.08508149242333651;0.0850814599778609	False	True	False	2	2	29036374-29037276;29036374-29037279	
RYR2	RYR2:s:237783675-237784972	s|1e1.1o2|1e1.2o2	0.953699;0.046301037	0.015311094077184402;0.01530886417717548	False	True	False	2	2	237784972-237785969;237784972-237785975	
KHDRBS2	KHDRBS2:s:62177185-62177312	s|1e1.1o1|1e2.1o1	0.0687063;0.9312937	0.04302801324764589;0.0430284207053955	False	False	True	2	3	62152312-62177185;62047994-62177185	
ANKS1A	ANKS1A:s:34970010-34970166	s|1e1.1o1|1e2.1o1	0.33922708;0.6607729	0.07209601152097271;0.07209614350413052	False	False	True	2	3	34970166-34972581;34970166-34981690	
KHDRBS2	KHDRBS2:s:61978066-61978212	s|1e1.1o1|1e2.1o1	0.95128024;0.048719786	0.02642754121768587;0.026427331096838577	False	False	True	2	3	61901371-61978066;61894833-61978066	
FHOD3	FHOD3:s:36625511-36625749	s|1e1.1o1|1e2.1o1	0.9791667;0.020833334	0.027982918643706143;0.027982191906257527	False	False	True	2	3	36625749-36658075;36625749-36681436	
SMG1P1	SMG1P1:t:22454702-22454865	t|1e1.1o1|1e2.1o1	0.20941558;0.79058444	0.1343087857824838;0.13430879095800943	False	False	True	2	3	22437492-22454702;22451658-22454702	
PPP2R5E	PPP2R5E:s:63382056-63382157	s|1e1.1o1|2e1.1o1	0.11363637;0.8863636	0.11169336120645172;0.1116935314885641	True	False	False	2	2	63376108-63382071;63376108-63382056	
FHOD3	FHOD3:t:36658075-36658188	t|1e1.1o1|1e2.1o1|1e3.1o1	0.78136206;0.13933691;0.08808167	0.10756613445793267;0.08226871303771577;0.07444749472552002	False	False	True	3	4	36625749-36658075;36652929-36658075;36653416-36658075	
LGALS8	LGALS8:s:236542761-236542787	s|1e1.1o1|1e2.1o1	0.23863637;0.7613636	0.14668828290563116;0.14668829324688024	False	False	True	2	3	236542787-236542915;236542787-236543560	
UVRAG	UVRAG:t:76016815-76016980	t|1e1.1o1|1e2.1o1	0.92638886;0.07361111	0.06849129691885997;0.06849124926236261	False	False	True	2	3	76008867-76016815;76013102-76016815	
ANKS1A	ANKS1A:s:34981690-34981986	s|1e1.1o1|1e2.1o1	0.16376506;0.8362349	0.03909743786877034;0.03909686199761152	False	False	True	2	3	34981986-34982752;34981986-34983113	
KHDRBS2	KHDRBS2:t:61894635-61894833	t|1e1.1o1|1e2.1o1	0.037221074;0.9627789	0.020448793815666708;0.020448059920576914	False	False	True	2	3	61894833-61978066;61894833-61901244	
KHDRBS2	KHDRBS2:s:61732682-61732764	s|1e1.1o1|1e2.1o1	0.96377456;0.03622547	0.018366923731868566;0.018367725020650455	False	False	True	2	3	61697253-61732682;61681060-61732682	
TRIP11	TRIP11:s:92039547-92040140	s|1e1.1o2|1e1.2o2	0.9121622;0.08783784	0.04404374972886342;0.04404322419411803	False	True	False	2	2	92033253-92039547;92033250-92039547	
TRIP11	TRIP11:s:92014215-92014577	s|1e1.1o1|1e2.1o1	0.41286057;0.5871394	0.15622715789784325;0.156227182598144	False	False	True	2	3	92011795-92014215;92007852-92014215	
PHF14	PHF14:s:11061964-11062085	s|1e1.1o1|1e2.1o1|1e3.1o1	0.013913044;0.82051283;0.16666667	0.023618490538832474;0.09901154473739915;0.09594296970259149	False	False	True	3	4	11062085-11062671;11062085-11102486;11062085-11111350	
ANKS1A	ANKS1A:t:34981690-34981986	t|1e1.1o1|1e2.1o1	0.5675415;0.43245852	0.07500881848075869;0.07500869914028958	False	False	True	2	3	34970166-34981690;34972643-34981690	
DPYSL2	DPYSL2:t:26581969-26582057	t|1e1.1o1|1e2.1o1	0.06330128;0.9366987	0.06215699308889899;0.06215723231622268	False	False	True	2	3	26514679-26581969;26578293-26581969	
FHOD3	FHOD3:t:36681436-36681570	t|1e1.1o1|1e2.1o1	0.022233203;0.9777668	0.030616403778136535;0.03061599589298224	False	False	True	2	3	36625749-36681436;36658188-36681436	
PHYHIP	PHYHIP:s:22231796-22232338	s|1e1.1o1|1e2.1o1	0.043487396;0.9565126	0.043352535863275234;0.043353390250606916	False	False	True	2	3	22228909-22231796;22228386-22231796	
ARHGAP21	ARHGAP21:t:24721837-24722346	t|1e1.1o1|1e2.1o1	0.2684524;0.7315476	0.1444927054371833;0.14449273816063446	False	False	True	2	3	24722279-24723562;24722279-24722486	
SETD2	SETD2:s:47083720-47084382	s|1e1.1o1|1e2.1o1	0.10848497;0.891515	0.05127320081422606;0.051272746125410926	False	False	True	2	3	47081083-47083720;47067118-47083720	
