Gene ID	LSV ID	LSV Type	E(PSI) per LSV junction	StDev(E(PSI)) per LSV junction	A5SS	A3SS	ES	Num. Junctions	Num. Exons	Junctions coords	IR coords
SOBP	SOBP:t:107633514-107635469	t|1e1.1o1|1e2.1o1	0.8779762;0.122023806	0.11110137043978774;0.11110130705704108	False	False	True	2	3	107533610-107633514;107587175-107633514	
RYR2	RYR2:s:237680456-237680577	s|1e1.1o1|1e2.1o1	0.8147212;0.1852788	0.04529212098907497;0.04529133022641385	False	False	True	2	3	237680577-237687455;237680577-237698965	
HLCS	HLCS:s:36759727-36759841	s|1e1.1o1|1e2.1o1	0.25;0.75	0.1277077162024348;0.12770775116018002	False	False	True	2	3	36756980-36759727;36756755-36759727	
SOGA3	SOGA3:s:127446408-127447740	s|1e1.1o1|2e1.1o1	0.012820513;0.98717946	0.0154963100322968;0.015493894861922989	True	False	False	2	2	127444282-127446872;127444282-127446408	
RYR2	RYR2:t:237698965-237699025	t|1e1.1o1|1e2.1o1|1e3.1o1	0.009630093;0.16168506;0.82744235	0.01030499335692603;0.04122144510250806;0.04194207474083684	False	False	True	3	4	237674846-237698965;237680577-237698965;237687504-237698965	
RYR2	RYR2:s:237760955-237761028	s|1e1.1o1|1e2.1o1	0.10913581;0.8908642	0.051861410930277484;0.051861678451246014	False	False	True	2	3	237761028-237769587;237761028-237770807	
ANKRD20A4	ANKRD20A4:s:64373464-64373637	s|1e1.1o1|1e2.1o1	0.971426;0.02857402	0.024198161003349813;0.02419712699857541	False	False	True	2	3	64373637-64377521;64373637-64378674	
PHC1	PHC1:s:8920985-8921065	s|1e1.1o1|1e2.1o2	0.9729532;0.027046785	0.03767953963448847;0.03767940224466808	False	False	True	2	3	8921065-8921601;8921065-8922633	
CDC42SE2	CDC42SE2:s:131390993-131391108	s|1e1.1o2|1e1.2o2	0.86538464;0.13461539	0.09446951602818543;0.09446971237479812	False	True	False	2	2	131391108-131391829;131391108-131391918	
HLF	HLF:s:55315227-55315447	s|1e1.1o2|1e1.2o2	0.05002001;0.94998	0.03836708775076432;0.038365993391695025	False	True	False	2	2	55315447-55320661;55315447-55320664	
SHPRH	SHPRH:s:145934907-145935163	s|1e1.1o1|2e1.1o1	0.083333336;0.9166667	0.07109875836671274;0.07109911760336929	True	False	False	2	2	145933178-145935080;145933178-145934907	
