cluster	status	loglr	df	p	p.adjust	genes
chr1_KI270706v1_random:clu_6072_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr1_KI270711v1_random:clu_16307_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr1_KI270711v1_random:clu_16308_NA	Not enough valid samples	NA	NA	NA	NA	NA
chr1_KI270712v1_random:clu_27453_NA	Success	0.276189775740363	2	0.758668940138905	0.909621333858927	NA
chr1:clu_6077_NA	Success	1.92289303650995	2	0.146183435770303	0.576566682830688	WASH7P
chr1:clu_6078_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6079_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6080_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6081_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6082_NA	Not enough valid samples	NA	NA	NA	NA	NA
chr1:clu_6083_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6084_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	LOC100132287,LOC100132062
chr1:clu_6085_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6086_NA	Success	1.95949559692656	5	0.561137302483167	0.828376132286255	LOC100133331
chr1:clu_6087_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6088_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6089_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6090_NA	Success	0.630955310578827	2	0.532083253374341	0.814508212169417	NA
chr1:clu_6091_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr1:clu_6092_NA	Success	0.0961386808168783	1	0.661027909898089	0.873103726290175	LOC100288069
chr1:clu_6093_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	LOC100288069
chr1:clu_6094_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6095_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6096_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6097_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6098_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	LINC01128
chr1:clu_6099_NA	Not enough valid samples	NA	NA	NA	NA	NA
chr1:clu_6100_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6101_NA	Success	2.00811161771503	2	0.134241935559866	0.562714265435016	LINC01128
chr1:clu_6102_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6103_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AGRN
chr1:clu_6104_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6105_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr1:clu_6106_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SDF4
chr1:clu_6107_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SDF4
chr1:clu_6108_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6109_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ACAP3
chr1:clu_6110_NA	Not enough valid samples	NA	NA	NA	NA	ACAP3
chr1:clu_6111_NA	Not enough valid samples	NA	NA	NA	NA	CPSF3L
chr1:clu_6112_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CPSF3L
chr1:clu_6113_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CPSF3L
chr1:clu_6114_NA	Success	1.61385635726178	2	0.199118260427781	0.627348995233578	CCNL2
chr1:clu_6115_NA	Success	0.664272228481643	1	0.249064325528851	0.66932507906583	CCNL2
chr1:clu_6116_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CCNL2
chr1:clu_6117_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CCNL2
chr1:clu_6118_NA	Not enough valid samples	NA	NA	NA	NA	MRPL20
chr1:clu_6119_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ATAD3B
chr1:clu_6120_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SSU72
chr1:clu_6121_NA	Success	0.715273391832199	2	0.489058388948791	0.79834265995152	CDK11B
chr1:clu_6122_NA	Success	1.07575299244752	1	0.142430122349587	0.573119382437866	CDK11B
chr1:clu_6123_NA	Success	1.04247694706183	2	0.352580276797519	0.734696623529339	CDK11B
chr1:clu_6124_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CDK11B,SLC35E2B
chr1:clu_6125_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SLC35E2B,SLC35E2
chr1:clu_6126_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CDK11A
chr1:clu_6127_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CDK11A
chr1:clu_6128_NA	Success	1.71568969270675	3	0.329771643567767	0.719983973554514	CDK11A
chr1:clu_6129_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6130_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CDK11A
chr1:clu_6131_NA	Not enough valid samples	NA	NA	NA	NA	CDK11A,SLC35E2
chr1:clu_6132_NA	Success	1.12883224116479	1	0.132954439967381	0.560858192681596	GNB1
chr1:clu_6133_NA	Success	2.77059806201589	5	0.353449720282467	0.734782236970682	GNB1
chr1:clu_6134_NA	Not enough valid samples	NA	NA	NA	NA	CFAP74
chr1:clu_6135_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CFAP74
chr1:clu_6136_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CFAP74
chr1:clu_6137_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CFAP74
chr1:clu_6138_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CFAP74
chr1:clu_6139_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6140_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	GABRD
chr1:clu_6141_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PRKCZ
chr1:clu_6142_NA	Success	0.639856038684826	1	0.257952576492273	0.676854943911289	PRKCZ
chr1:clu_6143_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6144_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PRKCZ
chr1:clu_6145_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6146_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6147_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SKI
chr1:clu_6148_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RER1
chr1:clu_6149_NA	Success	1.22656873549958	1	0.117290220308357	0.541738000544051	RER1
chr1:clu_6150_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PLCH2
chr1:clu_6151_NA	Success	0.0511539269699313	1	0.749077501913437	0.90676877607827	PANK4
chr1:clu_6152_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6153_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TP73-AS1
chr1:clu_6154_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TP73-AS1
chr1:clu_6155_NA	Not enough valid samples	NA	NA	NA	NA	CEP104
chr1:clu_6156_NA	Success	0.283497229942782	3	0.903944883165127	0.961345393521693	CEP104
chr1:clu_6157_NA	Success	0.415938296127592	1	0.361730453524617	0.736620338695932	CEP104
chr1:clu_6158_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CEP104
chr1:clu_6159_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	DFFB
chr1:clu_6160_NA	Success	4.56870687281912	6	0.1659962307836	0.598119845184636	DFFB
chr1:clu_6161_NA	Success	3.11641935349124	1	0.0125402548620144	0.261968567876537	AJAP1
chr1:clu_6162_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AJAP1
chr1:clu_6163_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NPHP4
chr1:clu_6164_NA	Not enough valid samples	NA	NA	NA	NA	NPHP4
chr1:clu_6165_NA	Not enough valid samples	NA	NA	NA	NA	NPHP4
chr1:clu_6166_NA	Success	0.20901292209976	1	0.517923756889096	0.81009872851278	NPHP4
chr1:clu_6167_NA	Not enough valid samples	NA	NA	NA	NA	NPHP4
chr1:clu_6168_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6169_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6170_NA	Success	2.15563199128155	3	0.229755657929997	0.651984196373426	CHD5
chr1:clu_6171_NA	Success	0.281070994462169	1	0.453398487884162	0.783938198357573	CHD5
chr1:clu_6172_NA	Success	0.166452787883728	1	0.563953167976352	0.82916124831672	CHD5
chr1:clu_6173_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CHD5
chr1:clu_6174_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CHD5
chr1:clu_6175_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CHD5
chr1:clu_6176_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CHD5
chr1:clu_6177_NA	Success	0.26870939603522	1	0.463504435692176	0.786891388689829	CHD5
chr1:clu_6178_NA	Success	2.36521676802624	2	0.0939289373711745	0.510444832485307	CHD5
chr1:clu_6179_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CHD5
chr1:clu_6180_NA	Success	0.259595182631188	1	0.471187253578316	0.790270616268287	CHD5
chr1:clu_6181_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CHD5
chr1:clu_6182_NA	Success	3.81554797460069	1	0.00573704311547572	0.177195619099543	CHD5
chr1:clu_6183_NA	Success	0.203883709940087	1	0.523104855403808	0.812336246928448	CHD5
chr1:clu_6184_NA	Success	0.635222130807051	2	0.529817786392959	0.813848181317203	CHD5,RPL22
chr1:clu_6185_NA	Success	0.435435260922105	1	0.350714424109218	0.733273206143229	RPL22
chr1:clu_6186_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RNF207
chr1:clu_6187_NA	Not enough valid samples	NA	NA	NA	NA	RNF207
chr1:clu_6188_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RNF207
chr1:clu_6189_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RNF207
chr1:clu_6190_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RNF207
chr1:clu_6191_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ICMT
chr1:clu_6192_NA	Success	0.0960494178665385	1	0.661175485631916	0.873103726290175	TNFRSF25
chr1:clu_6193_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PLEKHG5
chr1:clu_6194_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PLEKHG5
chr1:clu_6195_NA	Success	3.47190049812502	4	0.13888805743724	0.568865885596001	NOL9
chr1:clu_6196_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ZBTB48
chr1:clu_6197_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ZBTB48
chr1:clu_6198_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	THAP3
chr1:clu_6199_NA	Success	1.24053385497911	1	0.115224009060782	0.537558670360468	DNAJC11
chr1:clu_6200_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	DNAJC11
chr1:clu_6201_NA	Not enough valid samples	NA	NA	NA	NA	DNAJC11
chr1:clu_6202_NA	Success	0.0404285621557392	2	0.960377769378412	0.983832367573679	CAMTA1
chr1:clu_6203_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CAMTA1
chr1:clu_6204_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
