Gene ID	LSV ID	LSV Type	E(PSI) per LSV junction	StDev(E(PSI)) per LSV junction	A5SS	A3SS	ES	Num. Junctions	Num. Exons	Junctions coords	IR coords
PHC1	PHC1:t:8917630-8917791	t|1e1.1o1|1e2.1o1	0.11607143;0.88392854	0.11175744592229472;0.11175756934743142	False	False	True	2	3	8914827-8917630;8916069-8917630	
PHC1	PHC1:s:8920985-8921065	s|1e1.1o1|1e2.1o2	0.98888886;0.011111111	0.01340963961764342;0.013413923837582956	False	False	True	2	3	8921065-8921601;8921065-8922633	
SOBP	SOBP:s:107587080-107587175	s|1e1.1o1|1e2.1o1	0.5351732;0.46482682	0.13069408011309178;0.13069405281242796	False	False	True	2	3	107587175-107627386;107587175-107633514	
SOBP	SOBP:t:107633514-107635469	t|1e1.1o1|1e2.1o1	0.50625;0.49375	0.13434787204006868;0.13434788361917677	False	False	True	2	3	107533610-107633514;107587175-107633514	
CDC42SE2	CDC42SE2:s:131390993-131391108	s|1e1.1o2|1e1.2o2	0.90665007;0.09334993	0.06851969955136229;0.06851965648763844	False	True	False	2	2	131391108-131391829;131391108-131391918	
AC018799.1	AC018799.1:t:194419308-194419631	t|1e1.1o1|1e2.1o1	0.89285713;0.10714286	0.09848894081619426;0.09848894412027172	False	False	True	2	3	194377337-194419308;194416418-194419308	
RYR2	RYR2:s:237680456-237680577	s|1e1.1o1|1e2.1o1	0.81520426;0.18479571	0.036995556631093995;0.036995589365261636	False	False	True	2	3	237680577-237687455;237680577-237698965	
PHC1	PHC1:t:8922633-8922788	t|1e1.1o1|1e2.1o1|2e2.1o1	0.00524967;0.9520677;0.04204545	0.006203020809339577;0.03738544450892636;0.03619312838481769	False	True	True	3	3	8921065-8922633;8921750-8922633;8921750-8922657	
PTPN4	PTPN4:t:119882097-119882149	t|1e1.1o1|1e2.1o1	0.13911659;0.8608834	0.06588223216423549;0.06588244648531208	False	False	True	2	3	119877542-119882097;119881830-119882097	
SHPRH	SHPRH:s:145934907-145935163	s|1e1.1o1|2e1.1o1	0.16410257;0.83589745	0.056248897297800735;0.056248693606169166	True	False	False	2	2	145933178-145935080;145933178-145934907	
HLCS	HLCS:s:36759727-36759841	s|1e1.1o1|1e2.1o1	0.3198052;0.6801948	0.16569402078441994;0.16569394540400034	False	False	True	2	3	36756980-36759727;36756755-36759727	
SHPRH	SHPRH:s:145933050-145933205	s|1e1.1o1|2e1.1o1	0.875;0.125	0.058133638274489426;0.0581336016442987	True	False	False	2	2	145927277-145933057;145927277-145933050	
HLF	HLF:s:55315227-55315447	s|1e1.1o2|1e1.2o2	0.011111111;0.98888886	0.013602722138414753;0.0136008720636924	False	True	False	2	2	55315447-55320661;55315447-55320664	
ANKRD20A4	ANKRD20A4:s:64373464-64373637	s|1e1.1o1|1e2.1o1	0.8680371;0.13196287	0.05398583437993468;0.053985773375745505	False	False	True	2	3	64373637-64377521;64373637-64378674	
